fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.1,0.21,0.3,1.4,0.037000000000000005,45.0,143.0,0.0,1.0,0.33,1.0,1
7.6,0.26,0.47,1.6,0.068,5.0,55.0,0.0,1.0,0.45,1.0,0
7.6,0.21,0.44,1.9,0.036000000000000004,10.0,119.0,0.0,1.0,0.7,1.0,1
6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.0,1.0,0.72,1.0,1
7.1,0.26,0.32,14.45,0.07400000000000001,29.0,107.0,0.0,0.0,0.42,1.0,1
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.0,1.0,0.41,1.0,1
6.2,0.37,0.22,8.3,0.025,36.0,216.0,0.0,1.0,0.6,1.0,1
7.9,0.22,0.45,14.2,0.038,53.0,141.0,0.0,1.0,0.46,1.0,1
6.9,0.25,0.26,5.2,0.024,36.0,135.0,0.0,1.0,0.72,1.0,1
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.0,1.0,0.41,1.0,1
7.1,0.26,0.32,14.45,0.07400000000000001,29.0,107.0,0.0,0.0,0.42,1.0,1
7.4,0.25,0.37,6.9,0.02,14.0,93.0,0.0,1.0,0.48,1.0,1
6.8,0.18,0.37,1.5,0.027000000000000003,37.0,93.0,0.0,1.0,0.45,1.0,1
7.0,0.17,0.37,1.5,0.027999999999999997,26.0,75.0,0.0,1.0,0.46,1.0,1
6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.0,1.0,0.37,1.0,0
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.0,1.0,0.44,1.0,1
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.0,1.0,0.44,1.0,1
8.9,0.33,0.32,1.5,0.047,11.0,200.0,0.0,1.0,0.46,1.0,0
7.0,0.26,0.46,15.55,0.037000000000000005,61.0,171.0,0.0,0.0,0.35,0.0,1
6.4,0.3,0.38,7.8,0.046,35.0,192.0,0.0,1.0,0.37,1.0,0
6.3,0.21,0.4,1.7,0.031,48.0,134.0,0.0,1.0,0.49,1.0,1
8.0,0.23,0.46,1.5,0.03,30.0,125.0,0.0,1.0,0.47,1.0,1
9.2,0.28,0.41,1.0,0.042,14.0,59.0,0.0,0.0,0.25,1.0,1
7.3,0.27,0.39,6.7,0.064,28.0,188.0,0.0,1.0,0.3,1.0,0
7.6,0.32,0.36,1.6,0.04,32.0,155.0,0.0,1.0,0.52,1.0,1
5.0,0.33,0.16,1.5,0.049,10.0,97.0,0.0,1.0,0.44,1.0,1
9.7,0.24,0.45,1.2,0.033,11.0,59.0,0.0,0.0,0.47,1.0,1
8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.0,1.0,0.43,1.0,0
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.0,1.0,0.32,1.0,1
8.0,0.61,0.38,12.1,0.301,24.0,220.0,0.0,0.0,0.48,1.0,0
7.2,0.26,0.44,7.1,0.027000000000000003,25.0,126.0,0.0,1.0,0.34,1.0,1
8.2,0.37,0.36,1.0,0.034,17.0,93.0,0.0,1.0,0.32,1.0,1
6.4,0.23,0.33,1.15,0.044000000000000004,15.5,217.5,0.0,1.0,0.44,1.0,1
5.9,0.4,0.32,6.0,0.034,50.0,127.0,0.0,1.0,0.58,1.0,1
7.6,0.28,0.39,1.2,0.038,21.0,115.0,0.0,1.0,0.67,1.0,1
8.0,0.28,0.42,7.1,0.045,41.0,169.0,0.0,1.0,0.43,1.0,0
7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.0,1.0,0.54,1.0,1
6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.0,1.0,0.53,1.0,1
7.2,0.23,0.39,2.3,0.033,29.0,102.0,0.0,1.0,0.54,1.0,1
6.9,0.18,0.38,6.5,0.039,20.0,110.0,0.0,1.0,0.42,1.0,0
9.4,0.26,0.53,1.2,0.047,25.0,109.0,0.0,1.0,0.28,1.0,1
8.3,0.33,0.42,1.15,0.033,18.0,96.0,0.0,1.0,0.32,1.0,0
7.3,0.29,0.3,13.0,0.043,46.0,238.0,0.0,1.0,0.41,0.0,1
7.9,0.41,0.37,4.5,0.03,40.0,114.0,0.0,1.0,0.54,1.0,1
7.9,0.44,0.37,5.85,0.033,27.0,93.0,0.0,1.0,0.54,1.0,1
7.7,0.39,0.3,5.2,0.037000000000000005,29.0,131.0,0.0,1.0,0.44,1.0,1
7.7,0.26,0.31,1.3,0.043,47.0,155.0,0.0,1.0,0.5,1.0,1
7.8,0.32,0.31,1.7,0.036000000000000004,46.0,195.0,0.0,1.0,0.48,1.0,0
6.8,0.32,0.37,3.4,0.023,19.0,87.0,0.0,1.0,0.53,1.0,1
7.3,0.24,0.39,3.6,0.024,35.0,116.0,0.0,1.0,0.51,1.0,0
7.1,0.44,0.37,2.7,0.040999999999999995,35.0,128.0,0.0,1.0,0.43,1.0,1
10.3,0.25,0.48,2.2,0.042,28.0,164.0,0.0,1.0,0.59,1.0,0
7.9,0.14,0.28,1.8,0.040999999999999995,44.0,178.0,0.0,1.0,0.43,1.0,1
7.4,0.18,0.42,2.1,0.036000000000000004,33.0,187.0,0.0,1.0,0.41,1.0,1
8.1,0.43,0.42,6.6,0.033,36.0,141.0,0.0,0.0,0.39,1.0,1
7.1,0.44,0.37,2.7,0.040999999999999995,35.0,128.0,0.0,1.0,0.43,1.0,1
6.4,0.26,0.22,5.1,0.037000000000000005,23.0,131.0,0.0,1.0,0.32,1.0,0
8.0,0.66,0.72,17.55,0.042,62.0,233.0,0.0,0.0,0.68,1.0,0
8.0,0.2,0.4,5.2,0.055,41.0,167.0,0.0,1.0,0.4,1.0,1
7.2,0.21,0.34,1.1,0.046,25.0,80.0,0.0,1.0,0.4,1.0,1
7.2,0.18,0.31,1.1,0.045,20.0,73.0,0.0,1.0,0.4,1.0,1
8.4,0.57,0.44,10.7,0.051,46.0,195.0,0.0,1.0,0.51,1.0,0
5.3,0.26,0.23,5.15,0.034,48.0,160.0,0.0,1.0,0.51,1.0,1
5.7,0.245,0.33,1.1,0.049,28.0,150.0,0.0,1.0,0.42,1.0,0
5.6,0.245,0.32,1.1,0.047,24.0,152.0,0.0,1.0,0.42,1.0,1
7.3,0.25,0.41,1.8,0.037000000000000005,52.0,165.0,0.0,1.0,0.39,1.0,1
7.0,0.16,0.73,1.0,0.138,58.0,150.0,0.0,1.0,0.3,1.0,0
6.4,0.22,0.34,1.8,0.057,29.0,104.0,0.0,1.0,0.57,1.0,1
7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.0,1.0,0.62,1.0,1
6.4,0.17,0.27,6.7,0.036000000000000004,88.0,223.0,0.0,1.0,0.35,1.0,1
6.9,0.29,0.16,6.8,0.034,65.0,212.0,0.0,1.0,0.39,1.0,1
6.2,0.21,0.38,6.8,0.036000000000000004,64.0,245.0,0.0,1.0,0.36,1.0,1
6.4,0.23,0.3,7.1,0.037000000000000005,63.0,236.0,0.0,1.0,0.34,1.0,1
7.3,0.19,0.68,1.5,0.05,31.0,156.0,0.0,1.0,0.64,1.0,1
7.3,0.18,0.65,1.4,0.046,28.0,157.0,0.0,1.0,0.62,1.0,1
9.6,0.29,0.46,1.45,0.039,77.5,223.0,0.0,0.0,0.46,1.0,1
7.2,0.14,0.35,1.2,0.036000000000000004,15.0,73.0,0.0,1.0,0.39,1.0,0
6.9,0.31,0.34,7.4,0.059000000000000004,36.0,174.0,0.0,1.0,0.62,1.0,1
7.5,0.28,0.34,4.2,0.027999999999999997,36.0,116.0,0.0,0.0,0.41,1.0,1
8.0,0.22,0.42,14.6,0.044000000000000004,45.0,163.0,1.0,1.0,0.69,0.0,1
7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.0,1.0,0.35,1.0,0
8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.0,1.0,0.58,1.0,1
8.0,0.22,0.42,14.6,0.044000000000000004,45.0,163.0,1.0,1.0,0.69,0.0,1
8.1,0.5,0.47,1.1,0.037000000000000005,23.0,126.0,0.0,1.0,0.42,1.0,0
7.0,0.39,0.31,5.3,0.16899999999999998,32.0,162.0,0.0,1.0,0.48,1.0,0
8.1,0.5,0.47,1.1,0.037000000000000005,23.0,126.0,0.0,1.0,0.42,1.0,0
8.4,0.35,0.56,13.8,0.048,55.0,190.0,0.0,1.0,0.58,1.0,1
6.2,0.22,0.27,1.5,0.064,20.0,132.0,0.0,1.0,0.46,1.0,1
8.0,0.22,0.42,14.6,0.044000000000000004,45.0,163.0,1.0,1.0,0.69,0.0,1
7.6,0.31,0.29,10.5,0.04,21.0,145.0,0.0,1.0,0.35,1.0,0
7.0,0.24,0.36,4.9,0.083,10.0,133.0,0.0,1.0,0.37,1.0,1
6.6,0.27,0.3,1.9,0.025,14.0,153.0,0.0,1.0,0.62,1.0,1
7.8,0.16,0.41,1.7,0.026000000000000002,29.0,140.0,0.0,1.0,0.78,1.0,1
7.7,0.27,0.34,1.8,0.027999999999999997,26.0,168.0,0.0,0.0,0.48,1.0,1
7.4,0.31,0.74,10.7,0.039,51.0,147.0,0.0,1.0,0.43,0.0,0
8.0,0.45,0.36,8.8,0.026000000000000002,50.0,151.0,0.0,1.0,0.25,1.0,1
7.7,0.27,0.34,1.8,0.027999999999999997,26.0,168.0,0.0,0.0,0.48,1.0,1
7.8,0.16,0.41,1.7,0.026000000000000002,29.0,140.0,0.0,1.0,0.78,1.0,1
6.6,0.16,0.29,1.8,0.05,40.0,147.0,0.0,1.0,0.44,1.0,1
8.3,0.21,0.4,1.6,0.032,35.0,110.0,0.0,1.0,0.6,1.0,1
7.2,0.32,0.33,1.4,0.028999999999999998,29.0,109.0,0.0,1.0,0.51,1.0,1
6.6,0.16,0.3,1.6,0.034,15.0,78.0,0.0,1.0,0.44,1.0,1
8.4,0.16,0.33,1.5,0.033,16.0,98.0,0.0,1.0,0.42,1.0,1
7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.0,1.0,0.56,1.0,1
6.2,0.17,0.3,1.1,0.037000000000000005,14.0,79.0,0.0,1.0,0.54,1.0,1
6.9,0.39,0.22,4.3,0.03,10.0,102.0,0.0,1.0,0.87,1.0,0
6.9,0.41,0.22,4.2,0.031,10.0,102.0,0.0,1.0,0.86,1.0,0
7.5,0.23,0.32,9.2,0.038,54.0,191.0,0.0,1.0,0.56,1.0,1
7.5,0.38,0.33,5.0,0.045,30.0,131.0,0.0,1.0,0.44,1.0,1
7.3,0.42,0.38,6.8,0.045,29.0,122.0,0.0,1.0,0.37,1.0,1
7.3,0.34,0.39,5.2,0.04,45.0,163.0,0.0,1.0,0.47,1.0,1
7.8,0.23,0.28,4.75,0.042,45.0,166.0,0.0,0.0,0.4,1.0,0
9.0,0.245,0.38,5.9,0.045,52.0,159.0,0.0,0.0,0.35,1.0,1
6.9,0.2,0.4,7.7,0.032,51.0,176.0,0.0,1.0,0.27,1.0,0
7.4,0.19,0.42,6.4,0.067,39.0,212.0,0.0,1.0,0.33,1.0,1
8.2,0.2,0.36,8.1,0.035,60.0,163.0,0.0,1.0,0.3,1.0,1
8.0,0.59,0.71,17.35,0.038,61.0,228.0,1.0,0.0,0.75,1.0,0
7.9,0.14,0.45,1.8,0.05,17.0,114.0,0.0,1.0,0.49,1.0,1
6.8,0.24,0.4,1.8,0.047,34.0,105.0,0.0,1.0,0.49,1.0,1
9.7,0.14,0.59,1.5,0.049,23.0,142.0,0.0,0.0,0.62,1.0,0
9.2,0.15,0.68,1.6,0.046,22.0,130.0,0.0,1.0,0.45,1.0,1
9.4,0.17,0.55,1.6,0.049,14.0,94.0,0.0,1.0,0.61,1.0,1
5.2,0.365,0.08,13.5,0.040999999999999995,37.0,142.0,0.0,1.0,0.39,1.0,1
6.3,0.23,0.22,3.75,0.039,37.0,116.0,0.0,1.0,0.5,1.0,1
9.6,0.25,0.54,1.3,0.04,16.0,160.0,0.0,0.0,0.43,1.0,0
9.2,0.32,0.42,1.3,0.046,14.0,186.0,0.0,1.0,0.48,1.0,0
6.4,0.31,0.4,6.2,0.04,46.0,169.0,0.0,1.0,0.46,1.0,1
8.1,0.2,0.36,9.7,0.044000000000000004,63.0,162.0,0.0,1.0,0.46,1.0,1
7.9,0.255,0.26,2.0,0.026000000000000002,40.0,190.0,0.0,1.0,0.39,1.0,1
7.0,0.15,0.34,1.4,0.039,21.0,177.0,0.0,1.0,0.62,1.0,0
6.4,0.15,0.31,1.1,0.044000000000000004,25.0,96.0,0.0,1.0,0.51,1.0,1
6.4,0.25,0.53,6.6,0.038,59.0,234.0,0.0,1.0,0.42,0.0,0
7.6,0.19,0.42,1.5,0.044000000000000004,6.0,114.0,0.0,1.0,0.74,1.0,1
7.3,0.43,0.37,4.6,0.027999999999999997,17.0,114.0,0.0,1.0,0.43,1.0,1
5.1,0.31,0.3,0.9,0.037000000000000005,28.0,152.0,0.0,1.0,0.56,1.0,1
6.2,0.2,0.26,1.7,0.09300000000000001,40.0,161.0,0.0,1.0,0.66,1.0,0
6.9,0.16,0.35,1.3,0.043,21.0,182.0,0.0,1.0,0.62,1.0,1
7.7,0.32,0.48,2.3,0.04,28.0,114.0,0.0,1.0,0.52,1.0,1
6.5,0.22,0.72,6.8,0.042,33.0,168.0,0.0,1.0,0.36,1.0,1
6.8,0.26,0.33,1.5,0.047,44.0,167.0,0.0,1.0,0.44,1.0,1
5.2,0.37,0.33,1.2,0.027999999999999997,13.0,81.0,0.0,1.0,0.38,1.0,1
8.4,0.19,0.43,2.1,0.052000000000000005,20.0,104.0,0.0,0.0,0.46,1.0,0
8.3,0.21,0.41,2.2,0.05,24.0,108.0,0.0,0.0,0.45,1.0,0
6.8,0.15,0.32,8.8,0.057999999999999996,24.0,110.0,0.0,1.0,0.4,0.0,1
7.9,0.16,0.64,17.0,0.05,69.0,210.0,1.0,1.0,0.51,1.0,1
7.8,0.21,0.39,1.8,0.034,62.0,180.0,0.0,1.0,0.75,1.0,1
9.0,0.24,0.5,1.2,0.048,26.0,107.0,0.0,1.0,0.34,1.0,1
5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.0,1.0,0.72,1.0,1
7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.0,1.0,0.37,1.0,1
6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.0,1.0,0.52,1.0,0
6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.0,1.0,0.52,1.0,0
8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.0,0.0,0.39,1.0,1
7.2,0.16,0.32,0.8,0.04,50.0,121.0,0.0,1.0,0.33,1.0,1
7.6,0.54,0.23,2.0,0.028999999999999998,13.0,151.0,0.0,1.0,0.33,1.0,0
8.4,0.58,0.27,12.15,0.033,37.0,116.0,0.0,0.0,0.39,1.0,1
6.6,0.25,0.31,12.4,0.059000000000000004,52.0,181.0,0.0,1.0,0.47,1.0,1
7.3,0.23,0.37,1.9,0.040999999999999995,51.0,165.0,0.0,1.0,0.4,1.0,1
7.3,0.39,0.37,1.1,0.043,36.0,113.0,0.0,1.0,0.48,1.0,1
7.0,0.46,0.39,6.2,0.039,46.0,163.0,0.0,1.0,0.35,1.0,1
8.2,0.35,0.4,6.3,0.039,35.0,162.0,0.0,1.0,0.34,1.0,1
7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.0,1.0,0.37,1.0,1
9.2,0.35,0.39,0.9,0.042,15.0,61.0,0.0,0.0,0.28,1.0,0
8.0,0.57,0.39,3.9,0.034,22.0,122.0,0.0,1.0,0.67,1.0,1
6.5,0.37,0.33,3.9,0.027000000000000003,40.0,130.0,0.0,1.0,0.39,1.0,1
5.7,0.21,0.24,2.3,0.047,60.0,189.0,0.0,1.0,0.72,1.0,1
6.7,0.18,0.3,6.4,0.048,40.0,251.0,0.0,1.0,0.52,1.0,0
7.8,0.13,0.3,1.8,0.04,43.0,179.0,0.0,1.0,0.41,1.0,0
7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.0,0.0,0.42,1.0,0
7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,1.0,0.59,0.0,1
6.3,0.29,0.4,6.5,0.039,43.0,167.0,0.0,1.0,0.44,1.0,1
6.8,0.35,0.32,2.4,0.048,35.0,103.0,0.0,1.0,0.46,1.0,1
6.5,0.19,0.32,1.4,0.04,31.0,132.0,0.0,1.0,0.54,1.0,1
6.2,0.12,0.26,5.7,0.044000000000000004,56.0,158.0,0.0,1.0,0.37,1.0,1
6.0,0.13,0.28,5.7,0.038,56.0,189.5,0.0,1.0,0.43,1.0,1
6.4,0.25,0.33,1.4,0.04,42.0,115.0,0.0,1.0,0.48,1.0,1
6.9,0.32,0.16,1.4,0.051,15.0,96.0,0.0,1.0,0.38,1.0,0
7.6,0.19,0.41,1.1,0.04,38.0,143.0,0.0,0.0,0.42,1.0,0
6.7,0.13,0.28,1.2,0.046,35.0,140.0,0.0,1.0,0.33,1.0,1
7.0,0.14,0.41,0.9,0.037000000000000005,22.0,95.0,0.0,1.0,0.43,1.0,1
7.6,0.27,0.24,3.8,0.057999999999999996,19.0,115.0,0.0,1.0,0.45,0.0,0
7.3,0.22,0.41,15.4,0.05,55.0,191.0,1.0,1.0,0.59,0.0,1
7.4,0.64,0.47,14.15,0.168,42.0,185.0,0.0,0.0,0.49,1.0,0
7.6,0.28,0.39,1.9,0.052000000000000005,23.0,116.0,0.0,1.0,0.4,1.0,1
8.3,0.26,0.41,9.2,0.042,41.0,162.0,0.0,1.0,0.38,1.0,1
10.7,0.22,0.56,8.2,0.044000000000000004,37.0,181.0,0.0,0.0,0.68,1.0,1
10.7,0.22,0.56,8.2,0.044000000000000004,37.0,181.0,0.0,0.0,0.68,1.0,1
6.9,0.23,0.34,2.7,0.032,24.0,121.0,0.0,1.0,0.38,1.0,1
6.2,0.3,0.32,1.7,0.032,30.0,130.0,0.0,1.0,0.41,1.0,1
6.9,0.27,0.41,1.7,0.047,6.0,134.0,0.0,1.0,0.69,1.0,1
6.9,0.28,0.41,1.7,0.05,10.0,136.0,0.0,1.0,0.71,1.0,1
6.9,0.28,0.3,1.6,0.047,46.0,132.0,0.0,1.0,0.38,1.0,1
6.9,0.46,0.2,0.9,0.054000000000000006,5.0,126.0,0.0,1.0,0.42,1.0,1
6.9,0.38,0.32,8.5,0.044000000000000004,36.0,152.0,0.0,1.0,0.35,1.0,1
5.7,0.43,0.3,5.7,0.039,24.0,98.0,0.0,1.0,0.61,1.0,1
6.6,0.56,0.16,3.1,0.045,28.0,92.0,0.0,1.0,0.35,1.0,1
7.1,0.36,0.56,1.3,0.046,25.0,102.0,0.0,1.0,0.33,1.0,1
6.8,0.23,0.4,1.6,0.047,5.0,133.0,0.0,1.0,0.7,1.0,1
6.2,0.33,0.29,1.3,0.042,26.0,138.0,0.0,1.0,0.64,1.0,0
5.6,0.49,0.13,4.5,0.039,17.0,116.0,0.0,1.0,0.9,1.0,1
6.6,0.42,0.33,2.8,0.034,15.0,85.0,0.0,1.0,0.51,1.0,1
7.3,0.18,0.29,1.2,0.044000000000000004,12.0,143.0,0.0,1.0,0.48,1.0,1
8.1,0.19,0.4,0.9,0.037000000000000005,73.0,180.0,0.0,1.0,0.34,1.0,1
5.9,0.19,0.26,7.4,0.034,33.0,123.0,0.0,1.0,0.42,1.0,1
6.2,0.16,0.47,1.4,0.028999999999999998,23.0,81.0,0.0,1.0,0.42,1.0,1
6.6,0.42,0.33,2.8,0.034,15.0,85.0,0.0,1.0,0.51,1.0,1
5.7,0.135,0.3,4.6,0.042,19.0,101.0,0.0,1.0,0.42,1.0,1
5.6,0.49,0.13,4.5,0.039,17.0,116.0,0.0,1.0,0.9,1.0,1
6.9,0.19,0.33,1.6,0.039,27.0,98.0,0.0,1.0,0.46,1.0,1
7.3,0.18,0.29,1.2,0.044000000000000004,12.0,143.0,0.0,1.0,0.48,1.0,1
7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.0,1.0,0.46,0.0,1
7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.0,1.0,0.46,0.0,1
7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.0,1.0,0.46,1.0,1
7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.0,1.0,0.46,0.0,1
6.3,0.67,0.48,12.6,0.052000000000000005,57.0,222.0,0.0,1.0,0.52,1.0,1
7.4,0.4,0.29,5.4,0.044000000000000004,31.0,122.0,0.0,1.0,0.5,1.0,1
7.1,0.26,0.31,2.2,0.044000000000000004,29.0,128.0,0.0,1.0,0.64,1.0,1
9.0,0.31,0.48,6.6,0.043,11.0,73.0,0.0,0.0,0.38,1.0,0
6.3,0.39,0.24,6.9,0.069,9.0,117.0,0.0,1.0,0.35,1.0,0
8.2,0.22,0.36,6.8,0.034,12.0,90.0,0.0,1.0,0.38,1.0,1
7.1,0.19,0.28,3.6,0.033,16.0,78.0,0.0,0.0,0.78,1.0,1
7.3,0.25,0.36,13.1,0.05,35.0,200.0,0.0,1.0,0.46,0.0,1
7.9,0.2,0.34,1.2,0.04,29.0,118.0,0.0,1.0,0.41,1.0,1
7.1,0.26,0.32,5.9,0.037000000000000005,39.0,97.0,0.0,1.0,0.4,1.0,1
7.0,0.2,0.34,5.7,0.035,32.0,83.0,0.0,1.0,0.46,1.0,1
6.9,0.3,0.33,4.1,0.035,26.0,155.0,0.0,1.0,0.79,1.0,1
8.1,0.29,0.49,7.1,0.042,22.0,124.0,0.0,1.0,0.41,1.0,1
5.8,0.17,0.3,1.4,0.037000000000000005,55.0,130.0,0.0,1.0,0.38,1.0,1
5.9,0.415,0.02,0.8,0.038,22.0,63.0,0.0,1.0,0.36,1.0,0
6.6,0.23,0.26,1.3,0.045,16.0,128.0,0.0,1.0,0.6,1.0,1
8.6,0.55,0.35,15.55,0.057,35.5,366.5,1.0,1.0,0.63,1.0,0
6.9,0.35,0.74,1.0,0.044000000000000004,18.0,132.0,0.0,1.0,0.55,1.0,0
7.6,0.14,0.74,1.6,0.04,27.0,103.0,0.0,1.0,0.4,1.0,1
9.2,0.28,0.49,11.8,0.042,29.0,137.0,0.0,1.0,0.34,1.0,0
6.2,0.18,0.49,4.5,0.047,17.0,90.0,0.0,1.0,0.37,1.0,1
5.3,0.165,0.24,1.1,0.051,25.0,105.0,0.0,1.0,0.47,1.0,0
9.8,0.25,0.74,10.0,0.055999999999999994,36.0,225.0,0.0,1.0,0.43,1.0,0
8.1,0.29,0.49,7.1,0.042,22.0,124.0,0.0,1.0,0.41,1.0,1
6.8,0.22,0.49,0.9,0.052000000000000005,26.0,128.0,0.0,1.0,0.35,1.0,1
7.2,0.22,0.49,1.0,0.045,34.0,140.0,0.0,1.0,0.34,1.0,1
7.4,0.25,0.49,1.1,0.042,35.0,156.0,0.0,1.0,0.55,1.0,0
8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.0,1.0,0.68,1.0,1
6.1,0.22,0.49,1.5,0.051,18.0,87.0,0.0,1.0,0.46,1.0,0
7.0,0.39,0.24,1.0,0.048,8.0,119.0,0.0,1.0,0.31,1.0,0
6.1,0.22,0.49,1.5,0.051,18.0,87.0,0.0,1.0,0.46,1.0,0
6.5,0.36,0.49,2.9,0.03,16.0,94.0,0.0,1.0,0.49,1.0,1
7.1,0.29,0.49,1.2,0.031,32.0,99.0,0.0,1.0,0.33,1.0,1
7.4,0.25,0.49,1.1,0.042,35.0,156.0,0.0,1.0,0.55,1.0,0
6.9,0.23,0.24,14.2,0.053,19.0,94.0,0.0,1.0,0.5,1.0,0
8.5,0.56,0.74,17.85,0.051,51.0,243.0,1.0,0.0,0.7,1.0,0
8.2,0.18,0.49,1.1,0.033,28.0,81.0,0.0,1.0,0.68,1.0,1
6.3,0.23,0.49,7.1,0.05,67.0,210.0,0.0,1.0,0.34,1.0,0
6.1,0.25,0.49,7.6,0.052000000000000005,67.0,226.0,0.0,1.0,0.47,0.0,0
7.2,0.26,0.74,13.6,0.05,56.0,162.0,0.0,1.0,0.44,0.0,0
7.2,0.31,0.24,1.4,0.057,17.0,117.0,0.0,1.0,0.35,1.0,0
8.0,0.25,0.49,1.2,0.061,27.0,117.0,0.0,1.0,0.34,1.0,0
7.0,0.18,0.49,5.3,0.04,34.0,125.0,0.0,1.0,0.4,1.0,1
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.0,1.0,0.35,1.0,1
8.3,0.2,0.74,4.45,0.044000000000000004,33.0,130.0,0.0,1.0,0.42,1.0,1
6.3,0.27,0.49,1.2,0.063,35.0,92.0,0.0,1.0,0.42,1.0,1
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.0,1.0,0.47,1.0,1
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.0,1.0,0.47,1.0,1
6.9,0.19,0.49,6.6,0.036000000000000004,49.0,172.0,0.0,1.0,0.27,1.0,1
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.0,1.0,0.35,1.0,1
7.2,0.4,0.49,1.1,0.048,11.0,138.0,0.0,1.0,0.42,1.0,0
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.0,1.0,0.35,1.0,1
7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.0,1.0,0.38,1.0,1
8.3,0.21,0.49,19.8,0.054000000000000006,50.0,231.0,1.0,0.0,0.54,1.0,0
6.9,0.34,0.74,11.2,0.069,44.0,150.0,0.0,1.0,0.81,1.0,0
6.3,0.27,0.49,1.2,0.063,35.0,92.0,0.0,1.0,0.42,1.0,1
8.3,0.2,0.74,4.45,0.044000000000000004,33.0,130.0,0.0,1.0,0.42,1.0,1
7.1,0.22,0.74,2.7,0.044000000000000004,42.0,144.0,0.0,1.0,0.41,1.0,1
7.9,0.11,0.49,4.5,0.048,27.0,133.0,0.0,1.0,0.42,1.0,1
8.5,0.17,0.74,3.6,0.05,29.0,128.0,0.0,1.0,0.4,1.0,1
6.4,0.145,0.49,5.4,0.048,54.0,164.0,0.0,1.0,0.44,1.0,1
7.4,0.16,0.49,1.2,0.055,18.0,150.0,0.0,1.0,0.47,1.0,1
8.3,0.19,0.49,1.2,0.051,11.0,137.0,0.0,1.0,0.46,1.0,1
8.0,0.44,0.49,9.1,0.031,46.0,151.0,0.0,1.0,0.27,1.0,1
7.0,0.2,0.74,0.8,0.044000000000000004,19.0,163.0,0.0,1.0,0.53,1.0,0
6.9,0.19,0.49,6.6,0.036000000000000004,49.0,172.0,0.0,1.0,0.27,1.0,1
7.1,0.25,0.49,3.0,0.03,30.0,96.0,0.0,1.0,0.39,1.0,1
6.5,0.24,0.24,1.6,0.046,15.0,60.0,0.0,1.0,0.39,1.0,0
7.2,0.4,0.49,1.1,0.048,11.0,138.0,0.0,1.0,0.42,1.0,0
7.6,0.52,0.49,14.0,0.034,37.0,156.0,0.0,1.0,0.38,1.0,1
7.8,0.43,0.49,13.0,0.033,37.0,158.0,0.0,1.0,0.35,1.0,1
7.8,0.21,0.49,1.35,0.052000000000000005,6.0,48.0,0.0,1.0,0.28,1.0,0
7.0,0.2,0.49,5.9,0.038,39.0,128.0,0.0,1.0,0.48,1.0,1
6.9,0.25,0.24,3.6,0.057,13.0,85.0,0.0,0.0,0.48,1.0,0
7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.0,1.0,0.44,1.0,1
7.1,0.85,0.49,8.7,0.027999999999999997,40.0,184.0,0.0,1.0,0.36,1.0,0
7.6,0.51,0.24,1.2,0.04,10.0,104.0,0.0,1.0,0.29,1.0,1
7.9,0.22,0.24,4.6,0.044000000000000004,39.0,159.0,0.0,0.0,0.28,1.0,1
7.7,0.16,0.49,2.0,0.055999999999999994,20.0,124.0,0.0,1.0,0.49,1.0,1
7.2,0.08,0.49,1.3,0.05,18.0,148.0,0.0,1.0,0.44,1.0,1
